workflow,quality_level,query_count,eta,calibration_scenarios_per_query,test_scenarios_per_query,calibration_scenario_count,test_scenario_count,method,solver_method,status,reused_last_feasible,objective_value,expected_cost,avg_latency,p95_latency,p99_latency,violation_rate,solver_runtime_sec,wall_time_sec,max_rss_mb,num_iterations,active_scenario_count,active_scenario_fraction,assignment_signature,error,process_exitcode,method_label,workflow_label
workflow2,Q1,200,0.2,50,50.0,10000,10000.0,full_milp,full_milp,OPTIMAL,False,2.940080902246523,2.9383707521591025,544.1151813358994,1274.657424405561,1904.7456292631384,0.0308,286.45498199993744,375.03457190003246,5467.7421875,1,10000,1.0,"[[""Database"", ""database_aliyun_cn-shanghai_q1""], [""Label Detection"", ""label_detection_aliyun_cn-shanghai_q1""], [""OCR"", ""ocr_azure_eastus_q1""], [""Q/A"", ""q_a_anthropic_global_q1""], [""Shot Detection"", ""shot_detection_aliyun_cn-shanghai_q1""], [""Speech Transcription"", ""speech_transcription_aliyun_cn-shanghai_q1""], [""Video Caption"", ""video_caption_aws_eu-central-1_q1""], [""Video Split & Sample"", ""video_split_and_sample_aliyun_cn-shanghai_q1""]]",,0,Full MILP,W2-Q1
workflow2,Q1,200,0.2,50,50.0,10000,10000.0,decomposed_milp,decomposition,OPTIMAL,False,2.940080902246523,2.9383707521591025,544.1151813358994,1274.657424405561,1904.7456292631384,0.0308,153.64498029998504,252.7381035001017,1795.40234375,3,3000,0.3,"[[""Database"", ""database_aliyun_cn-shanghai_q1""], [""Label Detection"", ""label_detection_aliyun_cn-shanghai_q1""], [""OCR"", ""ocr_azure_eastus_q1""], [""Q/A"", ""q_a_anthropic_global_q1""], [""Shot Detection"", ""shot_detection_aliyun_cn-shanghai_q1""], [""Speech Transcription"", ""speech_transcription_aliyun_cn-shanghai_q1""], [""Video Caption"", ""video_caption_aws_eu-central-1_q1""], [""Video Split & Sample"", ""video_split_and_sample_aliyun_cn-shanghai_q1""]]",,0,SkyFlow,W2-Q1
workflow2,Q1,400,0.2,50,50.0,20000,20000.0,full_milp,full_milp,OPTIMAL,False,2.9037134568551703,2.9017768315008508,539.706112103958,1284.9282421934454,1927.5593323565377,0.03105,692.2236996000865,853.6922530999873,10940.51953125,1,20000,1.0,"[[""Database"", ""database_aliyun_cn-shanghai_q1""], [""Label Detection"", ""label_detection_aliyun_cn-shanghai_q1""], [""OCR"", ""ocr_azure_eastus_q1""], [""Q/A"", ""q_a_aws_eu-central-1_q1""], [""Shot Detection"", ""shot_detection_aliyun_cn-shanghai_q1""], [""Speech Transcription"", ""speech_transcription_aliyun_cn-shanghai_q1""], [""Video Caption"", ""video_caption_aws_us-east-2_q1""], [""Video Split & Sample"", ""video_split_and_sample_aliyun_cn-shanghai_q1""]]",,0,Full MILP,W2-Q1
workflow2,Q1,400,0.2,50,50.0,20000,20000.0,decomposed_milp,decomposition,OPTIMAL,False,2.903713456014539,2.9017768315008508,539.706112103958,1284.9282421934454,1927.5593323565377,0.03105,497.14608370000497,733.4474142000545,4056.21484375,4,7000,0.35,"[[""Database"", ""database_aliyun_cn-shanghai_q1""], [""Label Detection"", ""label_detection_aliyun_cn-shanghai_q1""], [""OCR"", ""ocr_azure_eastus_q1""], [""Q/A"", ""q_a_aws_eu-central-1_q1""], [""Shot Detection"", ""shot_detection_aliyun_cn-shanghai_q1""], [""Speech Transcription"", ""speech_transcription_aliyun_cn-shanghai_q1""], [""Video Caption"", ""video_caption_aws_us-east-2_q1""], [""Video Split & Sample"", ""video_split_and_sample_aliyun_cn-shanghai_q1""]]",,0,SkyFlow,W2-Q1
workflow2,Q1,600,0.2,50,50.0,30000,30000.0,full_milp,full_milp,OPTIMAL,False,2.866564732057005,2.86623101363997,530.1033153627313,1271.138269257034,1961.7449091655355,0.0318666666666666,1238.3952046999475,1473.2710242000176,16457.98828125,1,30000,1.0,"[[""Database"", ""database_aliyun_cn-shanghai_q1""], [""Label Detection"", ""label_detection_aliyun_cn-shanghai_q1""], [""OCR"", ""ocr_azure_eastus_q1""], [""Q/A"", ""q_a_aws_eu-central-1_q1""], [""Shot Detection"", ""shot_detection_aliyun_cn-shanghai_q1""], [""Speech Transcription"", ""speech_transcription_aliyun_cn-shanghai_q1""], [""Video Caption"", ""video_caption_aws_us-east-2_q1""], [""Video Split & Sample"", ""video_split_and_sample_aliyun_cn-shanghai_q1""]]",,0,Full MILP,W2-Q1
workflow2,Q1,600,0.2,50,50.0,30000,30000.0,decomposed_milp,decomposition,OPTIMAL,False,2.866564746623796,2.866231028774275,530.0482454257907,1271.0473042616309,1961.7271700895487,0.0318666666666666,910.1906175999902,1243.1180954000447,6083.85546875,4,10500,0.35,"[[""Database"", ""database_aliyun_cn-shanghai_q1""], [""Label Detection"", ""label_detection_aliyun_cn-shanghai_q1""], [""OCR"", ""ocr_azure_eastus_q1""], [""Q/A"", ""q_a_anthropic_global_q1""], [""Shot Detection"", ""shot_detection_aliyun_cn-shanghai_q1""], [""Speech Transcription"", ""speech_transcription_aliyun_cn-shanghai_q1""], [""Video Caption"", ""video_caption_aws_us-east-2_q1""], [""Video Split & Sample"", ""video_split_and_sample_aliyun_cn-shanghai_q1""]]",,0,SkyFlow,W2-Q1
workflow2,Q1,800,0.2,50,50.0,40000,40000.0,full_milp,full_milp,OPTIMAL,False,2.8621599715425314,2.861638997827768,527.919312356154,1263.154665441322,1959.2101226478712,0.032375,1774.3062184000155,2088.513108599931,20725.5234375,1,40000,1.0,"[[""Database"", ""database_aliyun_cn-shanghai_q1""], [""Label Detection"", ""label_detection_aliyun_cn-shanghai_q1""], [""OCR"", ""ocr_azure_eastus_q1""], [""Q/A"", ""q_a_azure_eastus_q1""], [""Shot Detection"", ""shot_detection_aliyun_cn-shanghai_q1""], [""Speech Transcription"", ""speech_transcription_aliyun_cn-shanghai_q1""], [""Video Caption"", ""video_caption_aws_us-east-2_q1""], [""Video Split & Sample"", ""video_split_and_sample_aliyun_cn-shanghai_q1""]]",,0,Full MILP,W2-Q1
workflow2,Q1,800,0.2,50,50.0,40000,40000.0,decomposed_milp,decomposition,OPTIMAL,False,2.8621599728414737,2.8616389999087963,527.7398213878843,1263.016309616772,1959.0817659319396,0.032375,1381.0484834000235,1821.469357099966,7892.6328125,4,14000,0.35,"[[""Database"", ""database_aliyun_cn-shanghai_q1""], [""Label Detection"", ""label_detection_aliyun_cn-shanghai_q1""], [""OCR"", ""ocr_azure_eastus_q1""], [""Q/A"", ""q_a_aws_eu-central-1_q1""], [""Shot Detection"", ""shot_detection_aliyun_cn-shanghai_q1""], [""Speech Transcription"", ""speech_transcription_aliyun_cn-shanghai_q1""], [""Video Caption"", ""video_caption_aws_us-east-2_q1""], [""Video Split & Sample"", ""video_split_and_sample_aliyun_cn-shanghai_q1""]]",,0,SkyFlow,W2-Q1
workflow2,Q1,1000,0.2,50,50.0,50000,50000.0,full_milp,full_milp,OPTIMAL,False,2.8707337885038493,2.8695574703805127,530.2079155341434,1268.5184400271053,1952.3490207168963,0.03148,2740.6194332001032,3127.370580499992,23822.83984375,1,50000,1.0,"[[""Database"", ""database_aliyun_cn-shanghai_q1""], [""Label Detection"", ""label_detection_aliyun_cn-shanghai_q1""], [""OCR"", ""ocr_azure_eastus_q1""], [""Q/A"", ""q_a_azure_eastus_q1""], [""Shot Detection"", ""shot_detection_aliyun_cn-shanghai_q1""], [""Speech Transcription"", ""speech_transcription_aliyun_cn-shanghai_q1""], [""Video Caption"", ""video_caption_aws_us-east-2_q1""], [""Video Split & Sample"", ""video_split_and_sample_aliyun_cn-shanghai_q1""]]",,0,Full MILP,W2-Q1
workflow2,Q1,1000,0.2,50,50.0,50000,50000.0,decomposed_milp,decomposition,OPTIMAL,False,2.870733798788254,2.8695574811396924,530.0300891184341,1268.3922237502811,1952.14608893448,0.03148,2391.0573032998946,3064.480876200017,10110.16015625,5,18032,0.36064,"[[""Database"", ""database_aliyun_cn-shanghai_q1""], [""Label Detection"", ""label_detection_aliyun_cn-shanghai_q1""], [""OCR"", ""ocr_azure_eastus_q1""], [""Q/A"", ""q_a_aws_ap-southeast-1_q1""], [""Shot Detection"", ""shot_detection_aliyun_cn-shanghai_q1""], [""Speech Transcription"", ""speech_transcription_aliyun_cn-shanghai_q1""], [""Video Caption"", ""video_caption_aws_us-east-2_q1""], [""Video Split & Sample"", ""video_split_and_sample_aliyun_cn-shanghai_q1""]]",,0,SkyFlow,W2-Q1
