eta,setting,workflow,quality,method,status,cost,svr,mean_latency,p95_latency
0.125,workflow1_Q3,workflow1,Q3,single_cloud,optimal,17.765543870918957,0.0699,5479.457389242973,10602.496051556793
0.125,workflow1_Q3,workflow1,Q3,dpgm,optimal,17.29121930944016,0.10468,5503.730536609785,10656.247719916119
0.125,workflow1_Q3,workflow1,Q3,decomposition,OPTIMAL,17.291366163196308,0.04092,5409.0345084704795,10464.582744524881
0.125,workflow2_Q2,workflow2,Q2,mtgp,optimal,9.559932236167986,0.37228,4890.060934007179,9161.37280760004
0.125,workflow2_Q2,workflow2,Q2,greedy,optimal,8.639624975887848,0.37228,4890.062629685327,9161.376366639357
0.125,workflow2_Q2,workflow2,Q2,single_cloud,optimal,14.079033102871236,0.07282,4677.083143983447,8763.642584387897
0.125,workflow2_Q2,workflow2,Q2,dpgm,optimal,8.394192720945158,0.105,4664.251995845241,8739.813999371583
0.125,workflow2_Q2,workflow2,Q2,decomposition,OPTIMAL,8.394268972862978,0.00806,4509.542828128673,8439.504459247357
0.125,workflow2_Q3,workflow2,Q3,mtgp,optimal,21.05927649528028,0.24472,5789.781253635461,11044.485922968803
0.125,workflow2_Q3,workflow2,Q3,greedy,optimal,21.061119999339134,0.24472,5789.781253635461,11044.485922968803
0.125,workflow2_Q3,workflow2,Q3,single_cloud,optimal,27.020514051850252,0.06932,5576.880743845304,10635.344080121817
0.125,workflow2_Q3,workflow2,Q3,dpgm,optimal,20.83258536577801,0.10132,5596.14049115987,10681.775117728122
0.125,workflow2_Q3,workflow2,Q3,decomposition,OPTIMAL,20.832735696204725,0.04074,5505.355184002818,10497.736848266979
0.125,workflow1_Q1,workflow1,Q1,mtgp,optimal,1.9284948414410834,0.49488,3911.998973043796,7258.198421539227
0.125,workflow1_Q1,workflow1,Q1,greedy,optimal,1.9493504415414924,0.90124,4070.3812463133218,7554.639634867499
0.125,workflow1_Q1,workflow1,Q1,single_cloud,optimal,2.3563704049434353,0.52204,3918.7785629164287,7267.4136572619545
0.125,workflow1_Q1,workflow1,Q1,dpgm,optimal,1.6868229267271648,0.06702,3753.651582020671,6961.532634549796
0.125,workflow1_Q1,workflow1,Q1,decomposition,OPTIMAL,1.6868536266265322,0.03546,3732.3708626648067,6922.701954297392
0.15,workflow2_Q1,workflow2,Q1,mtgp,optimal,3.82910860852043,0.59096,3933.6492441740384,7352.10127048967
0.15,workflow2_Q1,workflow2,Q1,greedy,optimal,3.652756820337252,0.9027,4062.1365867922773,7601.904596665479
0.15,workflow2_Q1,workflow2,Q1,single_cloud,optimal,8.901925527376633,0.52256,3912.298566750542,7314.641701557044
0.15,workflow2_Q1,workflow2,Q1,dpgm,optimal,3.3964724169434017,0.06326,3744.8179109219254,7002.068965438232
0.15,workflow2_Q1,workflow2,Q1,decomposition,OPTIMAL,3.3964724341362076,0.0626,3744.5373137419815,7001.7862634165485
0.15,workflow1_Q2,workflow1,Q2,mtgp,optimal,6.326995672667029,0.34472,4869.580295873686,9159.82602350817
0.15,workflow1_Q2,workflow1,Q2,greedy,optimal,6.323958764530495,0.37556,4893.98189382714,9205.254986543392
0.15,workflow1_Q2,workflow1,Q2,single_cloud,optimal,6.612359813574345,0.07174,4680.951597858793,8792.30568751478
0.15,workflow1_Q2,workflow1,Q2,dpgm,optimal,6.064094529329264,0.10522,4667.851693267758,8793.408683456335
0.15,workflow1_Q2,workflow1,Q2,decomposition,OPTIMAL,6.06417035382211,0.00846,4512.827894818881,8490.272492015703
0.15,workflow1_Q3,workflow1,Q3,mtgp,optimal,17.543419308792483,0.24764,5689.481311361104,11026.786727512497
0.15,workflow1_Q3,workflow1,Q3,greedy,optimal,17.543419308792483,0.24764,5689.481311361104,11026.786727512497
0.15,workflow1_Q3,workflow1,Q3,single_cloud,optimal,17.765543870918957,0.0699,5479.457389242973,10602.496051556793
0.15,workflow1_Q3,workflow1,Q3,dpgm,optimal,17.29121930944016,0.10468,5503.730536609785,10656.247719916119
0.15,workflow1_Q3,workflow1,Q3,decomposition,OPTIMAL,17.291366163196308,0.04092,5409.0345084704795,10464.582744524881
0.15,workflow2_Q2,workflow2,Q2,mtgp,optimal,9.559932236167986,0.37228,4890.060934007179,9161.37280760004
0.15,workflow2_Q2,workflow2,Q2,greedy,optimal,8.639624975887848,0.37228,4890.062629685327,9161.376366639357
0.15,workflow2_Q2,workflow2,Q2,single_cloud,optimal,14.079033102871236,0.07282,4677.083143983447,8763.642584387897
0.15,workflow2_Q2,workflow2,Q2,dpgm,optimal,8.394192720945158,0.105,4664.251995845241,8739.813999371583
0.15,workflow2_Q2,workflow2,Q2,decomposition,OPTIMAL,8.394269558034434,0.00848,4514.179462551366,8448.069427268007
0.15,workflow2_Q3,workflow2,Q3,mtgp,optimal,21.05927649528028,0.24472,5789.781253635461,11044.485922968803
0.15,workflow2_Q3,workflow2,Q3,greedy,optimal,21.061119999339134,0.24472,5789.781253635461,11044.485922968803
0.15,workflow2_Q3,workflow2,Q3,single_cloud,optimal,27.020514051850252,0.06932,5576.880743845304,10635.344080121817
0.15,workflow2_Q3,workflow2,Q3,dpgm,optimal,20.83258536577801,0.10132,5596.14049115987,10681.775117728122
0.15,workflow2_Q3,workflow2,Q3,decomposition,OPTIMAL,20.83273627349037,0.04088,5505.450859788555,10497.811975508095
0.15,workflow1_Q1,workflow1,Q1,mtgp,optimal,1.9284948414410834,0.49488,3911.998973043796,7258.198421539227
0.15,workflow1_Q1,workflow1,Q1,greedy,optimal,1.9493504415414924,0.90124,4070.3812463133218,7554.639634867499
0.15,workflow1_Q1,workflow1,Q1,single_cloud,optimal,2.3563704049434353,0.52204,3918.7785629164287,7267.4136572619545
0.15,workflow1_Q1,workflow1,Q1,dpgm,optimal,1.6868229267271648,0.06702,3753.651582020671,6961.532634549796
0.15,workflow1_Q1,workflow1,Q1,decomposition,OPTIMAL,1.6868229267271648,0.0622,3750.5945212242223,6955.40135980191
