multiplier,workflow,quality,setting,has_result,path,cost,svr,svr_pct,status,base_cost,base_svr_pct,cost_delta_pct,svr_delta_pp
1.0,workflow1,Q1,workflow1_Q1,True,D:\Document\proj\SkyBridge\src\sim\results\minp95_current_qbr030\workflow1_Q1\decomposition\selected_plan.json,1.6868229267271648,0.0622,6.22,INFEASIBLE,1.6868229267271648,6.22,0.0,0.0
1.0,workflow1,Q2,workflow1_Q2,True,D:\Document\proj\SkyBridge\src\sim\results\minp95_current_qbr030\workflow1_Q2\decomposition\selected_plan.json,6.06417035382211,0.00846,0.8460000000000001,OPTIMAL,6.06417035382211,0.8460000000000001,0.0,0.0
1.0,workflow1,Q3,workflow1_Q3,True,D:\Document\proj\SkyBridge\src\sim\results\minp95_current_qbr030\workflow1_Q3\decomposition\selected_plan.json,17.807902731011264,0.04334,4.334,INFEASIBLE,17.807902731011264,4.334,0.0,0.0
1.0,workflow2,Q1,workflow2_Q1,True,D:\Document\proj\SkyBridge\src\sim\results\minp95_current_qbr030\workflow2_Q1\decomposition\selected_plan.json,3.3967006623159977,0.0292,2.92,OPTIMAL,3.3967006623159977,2.92,0.0,0.0
1.0,workflow2,Q2,workflow2_Q2,True,D:\Document\proj\SkyBridge\src\sim\results\minp95_current_qbr030\workflow2_Q2\decomposition\selected_plan.json,8.394268972562678,0.00806,0.8059999999999999,OPTIMAL,8.394268972562678,0.8059999999999999,0.0,0.0
1.0,workflow2,Q3,workflow2_Q3,True,D:\Document\proj\SkyBridge\src\sim\results\minp95_current_qbr030\workflow2_Q3\decomposition\selected_plan.json,21.289251977191018,0.04218,4.218,INFEASIBLE,21.289251977191018,4.218,0.0,0.0
1.1,workflow1,Q1,workflow1_Q1,True,D:\Document\proj\SkyBridge\src\sim\results\sensitivity_sla_multiplier_minp95_current_qbr030\sla_1p1\workflow1_Q1\decomposition\selected_plan.json,1.6868229267271653,0.0,0.0,OPTIMAL,1.6868229267271648,6.22,2.6326960750509875e-14,-6.22
1.1,workflow1,Q2,workflow1_Q2,True,D:\Document\proj\SkyBridge\src\sim\results\sensitivity_sla_multiplier_minp95_current_qbr030\sla_1p1\workflow1_Q2\decomposition\selected_plan.json,6.064170353822108,0.0001,0.01,OPTIMAL,6.06417035382211,0.8460000000000001,-2.929266059091913e-14,-0.8360000000000001
1.1,workflow1,Q3,workflow1_Q3,True,D:\Document\proj\SkyBridge\src\sim\results\sensitivity_sla_multiplier_minp95_current_qbr030\sla_1p1\workflow1_Q3\decomposition\selected_plan.json,17.29121930944016,0.00038,0.038,OPTIMAL,17.807902731011264,4.334,-2.9014276940727903,-4.295999999999999
1.1,workflow2,Q1,workflow2_Q1,True,D:\Document\proj\SkyBridge\src\sim\results\sensitivity_sla_multiplier_minp95_current_qbr030\sla_1p1\workflow2_Q1\decomposition\selected_plan.json,3.3964724341362076,0.0,0.0,OPTIMAL,3.3967006623159977,2.92,-0.006719113707077567,-2.92
1.1,workflow2,Q2,workflow2_Q2,True,D:\Document\proj\SkyBridge\src\sim\results\sensitivity_sla_multiplier_minp95_current_qbr030\sla_1p1\workflow2_Q2\decomposition\selected_plan.json,8.39419272302551,0.0003,0.03,OPTIMAL,8.394268972562678,0.8059999999999999,-0.0009083523224834764,-0.7759999999999999
1.1,workflow2,Q3,workflow2_Q3,True,D:\Document\proj\SkyBridge\src\sim\results\sensitivity_sla_multiplier_minp95_current_qbr030\sla_1p1\workflow2_Q3\decomposition\selected_plan.json,20.8325853678593,0.0003,0.03,OPTIMAL,21.289251977191018,4.218,-2.1450570918179053,-4.188
