workflow,quality_level,query_count,eta,calibration_scenarios_per_query,test_scenarios_per_query,calibration_scenario_count,test_scenario_count,method,solver_method,status,reused_last_feasible,objective_value,expected_cost,avg_latency,p95_latency,p99_latency,violation_rate,solver_runtime_sec,wall_time_sec,max_rss_mb,num_iterations,active_scenario_count,active_scenario_fraction,assignment_signature,error,process_exitcode
workflow1,Q1,200,0.1,50,,10000,,full_milp,,FAILED,False,,,,,,,,22.42808929199964,1351.734375,0,0,,,"RuntimeError: Full MILP failed to find a solution (status=INFEASIBLE)
Traceback (most recent call last):
  File ""/Users/heng/Documents/skybridge/sim/scripts/run_q_scaling_full_decomp_minp95.py"", line 89, in _worker
    result = solve_full_milp(
        workflow,
    ...<4 lines>...
        config,
    )
  File ""/Users/heng/Documents/skybridge/sim/src/milp_full.py"", line 50, in solve_full_milp
    raise RuntimeError(f""Full MILP failed to find a solution (status={status})"")
RuntimeError: Full MILP failed to find a solution (status=INFEASIBLE)
",0
workflow1,Q1,200,0.1,50,50.0,10000,10000.0,decomposed_milp,decomposition,INFEASIBLE_REUSED_LAST_FEASIBLE,True,inf,1.151633439511564,503.7282317299979,1222.104056773627,1968.6067221430371,0.0374,8.911463082999035,31.6467915000012,1137.234375,3,3000,0.3,"[[""Q/A"", ""q_a_aws_us-east-2_q1""], [""Shot Detection"", ""shot_detection_aliyun_cn-shanghai_q1""], [""Video Caption"", ""video_caption_aws_us-east-2_q1""], [""Video Split & Sample"", ""video_split_and_sample_aliyun_cn-shanghai_q1""]]",,0
workflow1,Q1,400,0.1,50,,20000,,full_milp,,FAILED,False,,,,,,,,79.20901687500009,2169.09375,0,0,,,"RuntimeError: Full MILP failed to find a solution (status=INFEASIBLE)
Traceback (most recent call last):
  File ""/Users/heng/Documents/skybridge/sim/scripts/run_q_scaling_full_decomp_minp95.py"", line 89, in _worker
    result = solve_full_milp(
        workflow,
    ...<4 lines>...
        config,
    )
  File ""/Users/heng/Documents/skybridge/sim/src/milp_full.py"", line 50, in solve_full_milp
    raise RuntimeError(f""Full MILP failed to find a solution (status={status})"")
RuntimeError: Full MILP failed to find a solution (status=INFEASIBLE)
",0
workflow1,Q1,400,0.1,50,50.0,20000,20000.0,decomposed_milp,decomposition,INFEASIBLE_REUSED_LAST_FEASIBLE,True,inf,1.19612104403649,521.9028679278351,1249.921194637467,1963.0210849314371,0.03555,30.09457199999997,63.30264070900011,1300.65625,3,6000,0.3,"[[""Q/A"", ""q_a_aws_us-east-2_q1""], [""Shot Detection"", ""shot_detection_aliyun_cn-shanghai_q1""], [""Video Caption"", ""video_caption_aws_us-east-2_q1""], [""Video Split & Sample"", ""video_split_and_sample_aliyun_cn-shanghai_q1""]]",,0
workflow1,Q1,600,0.1,50,,30000,,full_milp,,FAILED,False,,,,,,,,242.0804341250005,3004.796875,0,0,,,"RuntimeError: Full MILP failed to find a solution (status=INFEASIBLE)
Traceback (most recent call last):
  File ""/Users/heng/Documents/skybridge/sim/scripts/run_q_scaling_full_decomp_minp95.py"", line 89, in _worker
    result = solve_full_milp(
        workflow,
    ...<4 lines>...
        config,
    )
  File ""/Users/heng/Documents/skybridge/sim/src/milp_full.py"", line 50, in solve_full_milp
    raise RuntimeError(f""Full MILP failed to find a solution (status={status})"")
RuntimeError: Full MILP failed to find a solution (status=INFEASIBLE)
",0
workflow1,Q1,600,0.1,50,50.0,30000,30000.0,decomposed_milp,decomposition,INFEASIBLE_REUSED_LAST_FEASIBLE,True,inf,1.1996516248526408,523.9177747037106,1259.997149193707,1985.667386718514,0.0357,54.52772349999759,98.14246279100009,1542.0625,3,9000,0.3,"[[""Q/A"", ""q_a_aws_us-east-2_q1""], [""Shot Detection"", ""shot_detection_aliyun_cn-shanghai_q1""], [""Video Caption"", ""video_caption_aws_us-east-2_q1""], [""Video Split & Sample"", ""video_split_and_sample_aliyun_cn-shanghai_q1""]]",,0
workflow1,Q1,800,0.1,50,,40000,,full_milp,,FAILED,False,,,,,,,,408.6945377079992,3545.8125,0,0,,,"RuntimeError: Full MILP failed to find a solution (status=INFEASIBLE)
Traceback (most recent call last):
  File ""/Users/heng/Documents/skybridge/sim/scripts/run_q_scaling_full_decomp_minp95.py"", line 89, in _worker
    result = solve_full_milp(
        workflow,
    ...<4 lines>...
        config,
    )
  File ""/Users/heng/Documents/skybridge/sim/src/milp_full.py"", line 50, in solve_full_milp
    raise RuntimeError(f""Full MILP failed to find a solution (status={status})"")
RuntimeError: Full MILP failed to find a solution (status=INFEASIBLE)
",0
workflow1,Q1,800,0.1,50,50.0,40000,40000.0,decomposed_milp,decomposition,INFEASIBLE_REUSED_LAST_FEASIBLE,True,inf,1.2079414840372198,525.9976949958237,1263.440618464427,1983.172434601083,0.036375,129.4962626659999,182.49750533399856,1803.96875,3,12000,0.3,"[[""Q/A"", ""q_a_aws_us-east-2_q1""], [""Shot Detection"", ""shot_detection_aliyun_cn-shanghai_q1""], [""Video Caption"", ""video_caption_aws_us-east-2_q1""], [""Video Split & Sample"", ""video_split_and_sample_aliyun_cn-shanghai_q1""]]",,0
workflow1,Q1,1000,0.1,50,,50000,,full_milp,,FAILED,False,,,,,,,,377.91674008300106,4522.546875,0,0,,,"RuntimeError: Full MILP failed to find a solution (status=TIME_LIMIT)
Traceback (most recent call last):
  File ""/Users/heng/Documents/skybridge/sim/scripts/run_q_scaling_full_decomp_minp95.py"", line 89, in _worker
    result = solve_full_milp(
        workflow,
    ...<4 lines>...
        config,
    )
  File ""/Users/heng/Documents/skybridge/sim/src/milp_full.py"", line 50, in solve_full_milp
    raise RuntimeError(f""Full MILP failed to find a solution (status={status})"")
RuntimeError: Full MILP failed to find a solution (status=TIME_LIMIT)
",0
workflow1,Q1,1000,0.1,50,50.0,50000,50000.0,decomposed_milp,decomposition,INFEASIBLE_REUSED_LAST_FEASIBLE,True,inf,1.2130651597532884,528.0033739582669,1260.508716279426,1970.8942198091147,0.03566,182.86600333300157,247.06540754200068,2204.984375,3,15000,0.3,"[[""Q/A"", ""q_a_aws_us-east-2_q1""], [""Shot Detection"", ""shot_detection_aliyun_cn-shanghai_q1""], [""Video Caption"", ""video_caption_aws_us-east-2_q1""], [""Video Split & Sample"", ""video_split_and_sample_aliyun_cn-shanghai_q1""]]",,0
workflow1,Q1,1200,0.1,50,,60000,,full_milp,,FAILED,False,,,,,,,,522.3940470000016,5229.0625,0,0,,,"RuntimeError: Full MILP failed to find a solution (status=TIME_LIMIT)
Traceback (most recent call last):
  File ""/Users/heng/Documents/skybridge/sim/scripts/run_q_scaling_full_decomp_minp95.py"", line 89, in _worker
    result = solve_full_milp(
        workflow,
    ...<4 lines>...
        config,
    )
  File ""/Users/heng/Documents/skybridge/sim/src/milp_full.py"", line 50, in solve_full_milp
    raise RuntimeError(f""Full MILP failed to find a solution (status={status})"")
RuntimeError: Full MILP failed to find a solution (status=TIME_LIMIT)
",0
workflow1,Q1,1200,0.1,50,50.0,60000,60000.0,decomposed_milp,decomposition,INFEASIBLE_REUSED_LAST_FEASIBLE,True,inf,1.2174333160666815,529.928389835214,1265.1772056328273,1976.8299551600776,0.03593333333333333,223.28737920799904,297.8673292500007,2395.71875,3,18000,0.3,"[[""Q/A"", ""q_a_aws_us-east-2_q1""], [""Shot Detection"", ""shot_detection_aliyun_cn-shanghai_q1""], [""Video Caption"", ""video_caption_aws_us-east-2_q1""], [""Video Split & Sample"", ""video_split_and_sample_aliyun_cn-shanghai_q1""]]",,0
